timestamp,temp,pulse,stats
15920,36.8,72,98
15940,36.85,74,97
15960,37.85,75,97
15980,36.85,68,100
16000,36.85,72,98
16020,36.85,68,100
16040,36.85,70,99
16060,36.85,74,97
16080,36.9,70,99
16100,36.9,72,98
16120,36.95,68,100
16140,36.95,72,98
16160,36.95,72,98
16180,37,68,100
16200,37,68,100
16220,37,68,100
16240,37,72,98
16260,37,72,98
16280,37,70,99
16300,37.15,74,97
16320,37.15,74,97
16340,36.3,71,98
16360,37.3,72,98
16380,36.3,73,97
16400,36.35,73,97
16420,37.4,68,100
16440,37.6,74,97
16460,36.65,73,97
16480,36.65,73,97
16500,36.7,69,99
16520,36.7,67,100
16540,36.85,71,98
16560,36.85,69,99
16580,36.9,67,100
16600,36.9,73,97
16620,36.9,71,98
16640,36.9,71,98
16660,36.95,67,100
16680,36.95,71,98
